改正日,営業所コード,職務コード,連番,社員コード
20181201,1,101,1,0000000444
20181201,1,101,2,0000001253
20181201,1,101,4,0000001324
20181201,1,101,5,0000001320
20181201,1,101,7,0000001083
20181201,1,101,8,0000001089
20181201,1,101,9,0000001263
20181201,1,101,11,0000001200
20181201,1,101,12,0000001580
20181201,1,101,13,0000000764
20181201,1,101,14,0000000537
20181201,1,101,16,0000000277
20181201,1,101,18,0000001273
20181201,1,101,19,0000001007
20181201,1,101,20,0000000735
20181201,1,101,21,0000001417
20181201,1,101,22,0000000859
20181201,1,101,23,0000001562
20181201,1,101,26,0000001613
20181201,1,101,27,0000000604
20181201,1,101,28,0000001600
20181201,1,101,29,0000000884
20181201,1,101,30,0000000997
20181201,1,101,33,0000001612
20181201,1,101,34,0000000536
20181201,1,101,35,0000001611
20181201,1,101,36,0000000268
20181201,1,101,37,0000001346
20181201,1,101,39,0000001195
20181201,1,101,40,0000000740
20181201,1,101,41,0000000858
20181201,1,101,42,0000001516
20181201,1,101,45,0000000710
20181201,1,101,47,0000001439
20181201,1,101,48,0000001615
20181201,1,101,51,0000000941
20181201,1,101,52,0000001344
20181201,1,101,53,0000001621
20181201,1,101,54,0000001293
20181201,1,101,55,0000001247
20181201,1,101,56,0000001623
20181201,1,101,61,0000001434
20181201,1,101,63,0000001252
20181201,1,101,64,0000001511
20181201,1,101,65,0000001587
20181201,1,101,67,0000000275
20181201,1,101,68,0000001596
20181201,1,101,69,0000000295
20181201,1,101,70,0000001463
20181201,1,101,71,0000001034
20181201,1,101,72,0000001130
20181201,1,101,73,0000001197
20181201,1,101,74,0000001375
20181201,1,101,75,0000001113
20181201,1,101,76,0000001523
20181201,1,101,77,0000000306
20181201,1,101,78,0000000882
20181201,1,101,81,0000000304
20181201,1,101,83,0000000296
20181201,1,101,84,0000000708
20181201,1,101,85,0000000704
20181201,1,101,86,0000000964
20181201,1,101,87,0000001616
20181201,1,101,88,0000001266
20181201,1,101,89,0000001183
20181201,1,101,91,0000000605
20181201,1,101,92,0000001552
20181201,1,101,94,0000001327
20181201,1,101,95,0000001277
20181201,1,101,96,0000001203
20181201,1,101,97,0000001138
20181201,1,101,98,0000000303
20181201,1,101,99,0000000834
20181201,1,101,100,0000000320
20181201,1,101,103,0000001185
20181201,1,101,105,0000001329
20181201,1,101,106,0000001245
20181201,1,101,107,0000001194
20181201,1,101,109,0000001479
20181201,1,101,110,0000001314
20181201,1,101,111,0000001396
20181201,1,101,112,0000001625
20181201,1,102,2,0000001259
20181201,1,102,3,0000001289
20181201,1,102,4,0000001285
20181201,1,102,5,0000001486
20181201,1,102,6,0000001487
20181201,1,102,7,0000001182
20181201,1,102,8,0000001255
20181201,1,102,9,0000001603
20181201,1,102,10,0000001382
20181201,1,102,11,0000001319
20181201,1,102,12,0000001331
20181201,1,102,13,0000001504
20181201,1,102,14,0000001321
20181201,1,102,15,0000001582
20181201,1,102,16,0000001381
20181201,1,102,17,0000001288
20181201,1,102,18,0000001351
20181201,1,102,20,0000001312
20181201,1,102,21,0000001150
20181201,1,102,22,0000001158
20181201,1,102,23,0000001602
20181201,1,102,24,0000001482
20181201,1,102,25,0000001460
20181201,1,102,26,0000001557
20181201,1,102,27,0000001328
20181201,1,103,1,0000001286
20181201,1,103,3,0000001604
20181201,1,103,5,0000001410
20181201,1,103,6,0000000241
20181201,1,103,7,0000001656
20181201,1,103,8,0000000254
20181201,1,103,9,0000001569
20181201,1,103,10,0000001638
20181201,1,103,11,0000001637
20181201,1,103,12,0000000323
20181201,1,103,13,0000000236
20181201,1,103,14,0000000226
20181201,1,103,16,0000001270
20181201,1,103,17,0000001418
20181201,1,103,19,0000000269
20181201,1,103,20,0000000976
20181201,1,103,21,0000001229
20181201,1,103,22,0000001636
20181201,1,103,23,0000001631
20181201,1,103,25,0000001572
20181201,1,103,26,0000000609
20181201,1,103,28,0000001129
20181201,1,104,1,0000001343
20181201,1,104,2,0000001641
20181201,1,104,4,0000001512
20181201,1,109,1,0000001188
20181201,1,109,2,0000001335
20181201,1,109,3,0000001425
20181201,1,109,4,0000000305
20181201,1,109,5,0000001391
20181201,1,109,6,0000001249
20181201,1,109,7,0000001084
20181201,1,109,8,0000001435
20181201,1,110,1,0000000447
20181201,1,110,2,0000000448
20181201,1,110,3,0000001524
20181201,1,110,4,0000001578
20181201,1,110,5,0000000967
20181201,1,111,1,0000000158
20181201,1,111,2,0000000171
20181201,1,111,3,0000000211
20181201,1,111,4,0000000232
20181201,1,111,5,0000000244
20181201,1,111,6,0000000209
20181201,1,111,7,0000000271
20181201,1,111,8,0000001550
20181201,1,111,9,0000000091
20181201,1,111,10,0000000198
20181201,1,111,11,0000000235
20181201,1,111,12,0000000223
20181201,1,111,13,0000001651
20181201,1,112,1,0000001258
20181201,1,112,2,0000000249
20181201,1,112,3,0000001632
20181201,1,112,4,0000000272
20181201,1,112,5,0000001231
20181201,1,112,6,0000000245
20181201,1,112,7,0000000533
20181201,1,112,8,0000001622
